"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014년 04월 21일","143.45","143.95","143.95","142.55","5.06K","-0.52%"
"2014년 04월 17일","144.20","145.75","145.75","143.80","-","-1.06%"
"2014년 04월 16일","145.75","145.10","145.80","144.97","2.60K","0.32%"
"2014년 04월 15일","145.28","145.40","145.40","144.60","2.66K","-0.05%"
"2014년 04월 14일","145.35","145.05","145.45","144.78","3.52K","0.35%"
"2014년 04월 11일","144.85","144.10","145.20","144.03","4.32K","0.59%"
"2014년 04월 10일","144.00","143.85","144.15","143.25","3.72K","0.17%"
"2014년 04월 09일","143.75","143.30","143.93","143.00","3.24K","0.30%"
"2014년 04월 08일","143.32","143.07","143.60","142.75","2.53K","0.20%"
"2014년 04월 07일","143.03","143.43","143.43","142.32","11.83K","-0.01%"
"2014년 04월 04일","143.05","145.30","145.40","142.75","17.22K","-1.45%"
"2014년 04월 03일","145.15","144.97","145.45","144.75","8.80K","0.38%"
"2014년 04월 02일","144.60","145.00","145.25","144.32","8.30K","-0.10%"
"2014년 04월 01일","144.75","145.75","146.00","144.38","10.32K","-0.75%"
"2014년 03월 31일","145.85","145.85","146.07","145.38","8.37K","-0.44%"
"2014년 03월 28일","146.50","146.45","147.00","145.85","9.31K","0.02%"
"2014년 03월 27일","146.47","145.85","146.68","145.28","14.38K","0.46%"
"2014년 03월 26일","145.80","145.40","146.35","145.05","11.93K","0.98%"
"2014년 03월 25일","144.38","144.15","145.40","143.10","19.94K","0.16%"
"2014년 03월 24일","144.15","144.03","144.65","143.57","15.39K","0.10%"
"2014년 03월 21일","144.00","144.80","144.90","143.50","13.97K","-0.30%"
"2014년 03월 20일","144.43","146.30","146.93","144.40","26.49K","-1.16%"
"2014년 03월 19일","146.12","145.62","146.38","145.40","13.14K","0.29%"
"2014년 03월 18일","145.70","145.20","145.82","144.72","11.13K","0.46%"
"2014년 03월 17일","145.03","145.30","145.93","145.00","13.02K","-0.15%"
"2014년 03월 14일","145.25","144.20","145.50","143.85","29.64K","1.13%"
"2014년 03월 13일","143.62","144.03","144.10","142.95","33.35K","-0.18%"
"2014년 03월 12일","143.88","143.50","144.10","143.07","29.73K","0.46%"
"2014년 03월 11일","143.22","143.28","144.57","142.70","34.73K","0.05%"
"2014년 03월 10일","143.15","143.40","143.57","142.70","32.32K","-0.07%"
"2014년 03월 07일","143.25","143.03","143.55","142.88","23.67K","0.07%"
"2014년 03월 06일","143.15","143.82","144.00","142.78","22.27K","-0.37%"
"2014년 03월 05일","143.68","145.70","146.82","142.62","40.29K","-1.33%"
"2014년 03월 04일","145.62","144.25","146.30","144.05","27.32K","1.04%"
"2014년 03월 03일","144.12","145.18","145.25","143.75","25.45K","-5.15%"
"2014년 02월 28일","151.95","150.28","153.00","150.28","-","1.27%"
"2014년 02월 27일","150.05","150.32","150.95","149.55","1.43K","0.94%"
"2014년 02월 26일","148.65","146.75","149.45","146.75","2.82K","1.50%"
"2014년 02월 25일","146.45","145.45","146.90","145.35","2.26K","0.90%"
"2014년 02월 24일","145.15","144.70","145.50","144.70","2.48K","0.42%"
"2014년 02월 21일","144.55","144.95","145.18","144.00","3.67K","-0.03%"
"2014년 02월 20일","144.60","143.80","144.97","143.65","2.69K","0.50%"
"2014년 02월 19일","143.88","143.72","144.40","143.45","3.70K","0.09%"
"2014년 02월 18일","143.75","143.12","143.75","143.12","3.20K","0.81%"
"2014년 02월 14일","142.60","143.28","143.50","142.35","3.15K","-0.38%"
"2014년 02월 13일","143.15","142.32","143.47","142.25","5.20K","0.74%"
"2014년 02월 12일","142.10","142.70","143.28","142.05","2.89K","-0.49%"
"2014년 02월 11일","142.80","141.50","143.07","141.20","5.61K","0.92%"
"2014년 02월 10일","141.50","141.25","141.78","140.38","12.39K","0.21%"
"2014년 02월 07일","141.20","139.53","141.38","139.40","13.89K","1.18%"
"2014년 02월 06일","139.55","139.55","140.07","138.90","8.13K","-0.11%"
"2014년 02월 05일","139.70","139.65","140.18","139.40","5.66K","0.07%"
"2014년 02월 04일","139.60","140.25","140.57","139.47","7.90K","-0.56%"
"2014년 02월 03일","140.38","141.72","141.72","140.15","7.51K","-0.92%"
"2014년 01월 31일","141.68","142.18","142.72","141.20","10.28K","-0.33%"
"2014년 01월 30일","142.15","142.00","142.40","141.70","6.36K","0.06%"
