"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 07월 09일","11,445.00","10,855.00","11,525.00","10,765.00","-","5.39%"
"2015년 07월 08일","10,860.00","10,755.00","11,075.00","10,420.00","-","0.98%"
"2015년 07월 07일","10,755.00","11,630.00","11,775.00","10,430.00","-","-7.52%"
"2015년 07월 06일","11,630.00","11,910.00","11,910.00","11,510.00","-","-2.51%"
"2015년 07월 03일","11,930.00","12,180.00","12,205.00","11,930.00","-","-2.05%"
"2015년 07월 02일","12,180.00","11,990.00","12,235.00","11,935.00","-","1.58%"
"2015년 07월 01일","11,990.00","11,960.00","12,115.00","11,835.00","-","-0.04%"
"2015년 06월 30일","11,995.00","11,760.00","12,115.00","10,780.00","-","2.00%"
"2015년 06월 29일","11,760.00","12,440.00","12,525.00","11,730.00","-","-5.24%"
"2015년 06월 26일","12,410.00","12,700.00","12,760.00","12,400.00","-","-2.36%"
"2015년 06월 25일","12,710.00","12,720.00","12,820.00","12,575.00","-","-0.24%"
"2015년 06월 24일","12,740.00","12,820.00","12,960.00","12,715.00","-","-0.62%"
"2015년 06월 23일","12,820.00","12,450.00","12,900.00","12,450.00","-","2.81%"
"2015년 06월 22일","12,470.00","12,605.00","12,730.00","12,430.00","-","-1.38%"
"2015년 06월 19일","12,645.00","12,720.00","12,770.00","12,580.00","-","-0.55%"
"2015년 06월 18일","12,715.00","12,780.00","12,935.00","12,665.00","-","-0.51%"
"2015년 06월 17일","12,780.00","12,660.00","12,910.00","12,655.00","-","0.71%"
"2015년 06월 16일","12,690.00","12,930.00","12,975.00","12,675.00","-","-1.93%"
"2015년 06월 15일","12,940.00","13,080.00","13,130.00","12,780.00","-","-1.30%"
"2015년 06월 12일","13,110.00","13,260.00","13,315.00","12,925.00","-","-1.54%"
"2015년 06월 11일","13,315.00","13,475.00","13,560.00","13,240.00","-","-1.63%"
"2015년 06월 10일","13,535.00","13,370.00","13,665.00","13,350.00","-","1.31%"
"2015년 06월 09일","13,360.00","13,360.00","13,615.00","13,350.00","-","-0.07%"
"2015년 06월 08일","13,370.00","13,080.00","13,435.00","13,060.00","-","2.18%"
"2015년 06월 05일","13,085.00","12,910.00","13,160.00","12,835.00","-","1.20%"
"2015년 06월 04일","12,930.00","12,930.00","12,980.00","12,760.00","-","0.00%"
"2015년 06월 03일","12,930.00","13,000.00","13,060.00","12,895.00","-","-0.54%"
"2015년 06월 02일","13,000.00","12,910.00","13,115.00","12,825.00","-","0.27%"
"2015년 06월 01일","12,965.00","12,580.00","13,025.00","12,505.00","-","3.06%"
"2015년 05월 29일","12,580.00","12,775.00","12,835.00","12,555.00","-","-1.53%"
"2015년 05월 28일","12,775.00","12,860.00","13,020.00","12,755.00","-","-0.66%"
"2015년 05월 27일","12,860.00","12,740.00","12,905.00","12,650.00","-","1.14%"
"2015년 05월 26일","12,715.00","12,825.00","13,005.00","12,600.00","-","-0.20%"
"2015년 05월 22일","12,740.00","13,030.00","13,110.00","12,680.00","-","-2.23%"
"2015년 05월 21일","13,030.00","12,980.00","13,280.00","12,925.00","-","-0.34%"
"2015년 05월 20일","13,075.00","12,950.00","13,095.00","12,780.00","-","0.97%"
"2015년 05월 19일","12,950.00","13,710.00","13,740.00","12,920.00","-","-5.54%"
"2015년 05월 18일","13,710.00","13,775.00","13,940.00","13,710.00","-","-0.90%"
"2015년 05월 15일","13,835.00","13,770.00","14,025.00","13,675.00","-","0.18%"
"2015년 05월 14일","13,810.00","13,985.00","14,035.00","13,765.00","-","-1.29%"
"2015년 05월 13일","13,990.00","14,290.00","14,345.00","13,970.00","-","-2.10%"
"2015년 05월 12일","14,290.00","14,280.00","14,330.00","14,025.00","-","0.39%"
"2015년 05월 11일","14,235.00","14,310.00","14,515.00","14,205.00","-","-0.52%"
