"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 02월 09일","391.25","385.25","391.75","383.50","217.64K","1.43%"
"2015년 02월 06일","385.75","385.00","389.50","380.00","202.34K","0.13%"
"2015년 02월 05일","385.25","382.50","387.50","381.50","136.40K","0.46%"
"2015년 02월 04일","383.50","385.00","388.25","379.50","178.70K","-0.58%"
"2015년 02월 03일","385.75","370.00","388.50","370.00","238.53K","4.33%"
"2015년 02월 02일","369.75","369.75","378.50","367.50","154.76K","-0.07%"
"2015년 01월 30일","370.00","372.75","373.00","365.75","194.63K","-0.40%"
"2015년 01월 29일","371.50","373.50","373.50","368.00","192.84K","-0.47%"
"2015년 01월 28일","373.25","380.75","381.50","373.00","167.62K","-2.10%"
"2015년 01월 27일","381.25","383.50","386.00","380.00","108.70K","-0.72%"
"2015년 01월 26일","384.00","385.75","388.25","382.25","102.85K","-0.71%"
"2015년 01월 23일","386.75","384.00","388.50","382.00","169.57K","0.78%"
"2015년 01월 22일","383.75","387.75","390.50","382.50","139.78K","-1.10%"
"2015년 01월 21일","388.00","390.00","392.50","386.25","114.63K","-0.58%"
"2015년 01월 20일","390.25","385.25","391.00","382.25","138.12K","0.84%"
"2015년 01월 16일","387.00","380.50","388.00","379.50","142.83K","1.84%"
"2015년 01월 15일","380.00","382.75","388.00","376.00","189.77K","-0.26%"
"2015년 01월 14일","381.00","386.00","386.25","376.00","236.41K","-1.23%"
"2015년 01월 13일","385.75","402.00","406.50","384.50","250.52K","-4.04%"
"2015년 01월 12일","402.00","399.00","407.00","390.00","269.59K","0.44%"
"2015년 01월 09일","400.25","394.75","401.50","393.00","154.55K","1.52%"
"2015년 01월 08일","394.25","396.50","398.75","392.75","118.97K","-0.50%"
"2015년 01월 07일","396.25","404.75","407.25","395.75","131.69K","-2.16%"
"2015년 01월 06일","405.00","405.50","409.50","402.25","138.31K","-0.25%"
"2015년 01월 05일","406.00","395.75","406.75","394.50","140.39K","2.59%"
"2015년 01월 02일","395.75","396.25","398.50","391.50","88.77K","-0.31%"
"2014년 12월 31일","397.00","406.00","406.50","396.00","119.26K","-2.34%"
"2014년 12월 30일","406.50","411.75","412.75","406.00","95.78K","-1.51%"
"2014년 12월 29일","412.75","414.00","417.00","410.75","86.31K","-0.48%"
"2014년 12월 26일","414.75","410.25","415.00","405.75","52.28K","1.72%"
"2014년 12월 24일","407.75","413.50","415.00","405.75","68.81K","-1.51%"
"2014년 12월 23일","414.00","411.00","415.75","410.50","90.86K","0.55%"
"2014년 12월 22일","411.75","409.75","414.25","408.50","90.60K","0.30%"
"2014년 12월 19일","410.50","410.75","411.25","405.00","117.61K","-0.12%"
"2014년 12월 18일","411.00","408.00","414.00","407.00","125.32K","0.67%"
"2014년 12월 17일","408.25","405.75","410.00","403.50","120.24K","0.55%"
"2014년 12월 16일","406.00","407.75","411.50","404.00","172.14K","-0.61%"
"2014년 12월 15일","408.50","407.50","412.50","405.00","162.94K","3.09%"
"2014년 12월 12일","396.25","389.75","398.50","388.00","1.52K","1.60%"
"2014년 12월 11일","390.00","382.50","390.50","382.50","5.45K","1.96%"
"2014년 12월 10일","382.50","382.50","384.75","377.75","5.46K","-0.13%"
"2014년 12월 09일","383.00","377.25","383.75","374.75","7.14K","1.46%"
"2014년 12월 08일","377.50","380.50","386.25","376.50","7.01K","-1.05%"
"2014년 12월 05일","381.50","375.25","382.50","372.25","3.53K","1.46%"
"2014년 12월 04일","376.00","368.50","376.75","367.50","9.63K","1.97%"
"2014년 12월 03일","368.75","367.50","369.50","364.25","8.08K","0.27%"
"2014년 12월 02일","367.75","375.25","376.75","367.50","13.66K","-2.06%"
"2014년 12월 01일","375.50","374.00","377.75","370.25","18.53K","-0.07%"
"2014년 11월 28일","375.75","377.00","380.25","370.25","29.22K","-4.05%"
"2014년 11월 27일","391.63","391.63","391.63","391.63","-","3.54%"
"2014년 11월 26일","378.25","374.00","378.75","373.75","163.80K","1.07%"
"2014년 11월 25일","374.25","367.50","375.25","366.25","153.23K","1.84%"
"2014년 11월 24일","367.50","372.25","372.75","365.50","159.59K","-1.41%"
"2014년 11월 21일","372.75","372.75","381.50","369.75","208.54K","-0.13%"
"2014년 11월 20일","373.25","363.00","374.75","362.50","192.32K","2.75%"
"2014년 11월 19일","363.25","371.75","372.00","362.75","203.63K","-2.35%"
"2014년 11월 18일","372.00","377.50","378.75","371.25","165.78K","-1.46%"
"2014년 11월 17일","377.50","381.50","384.25","374.25","166.79K","-1.11%"
"2014년 11월 14일","381.75","385.50","387.00","380.50","160.96K","-1.17%"
"2014년 11월 13일","386.25","377.00","389.00","377.00","299.51K","2.25%"
"2014년 11월 12일","377.75","373.50","385.00","372.75","337.61K","1.07%"
"2014년 11월 11일","373.75","368.25","374.50","365.50","225.10K","1.22%"
"2014년 11월 10일","369.25","366.00","378.75","364.75","308.19K","0.48%"
"2014년 11월 07일","367.50","370.00","371.75","364.25","207.97K","-1.01%"
"2014년 11월 06일","371.25","369.50","374.50","366.50","173.69K","0.27%"
"2014년 11월 05일","370.25","364.00","371.75","359.00","213.92K","1.58%"
"2014년 11월 04일","364.50","372.50","372.50","364.00","178.12K","-2.41%"
"2014년 11월 03일","373.50","374.50","375.25","370.50","157.75K","-0.86%"
"2014년 10월 31일","376.75","372.75","378.00","368.00","190.82K","0.74%"
"2014년 10월 30일","374.00","374.75","381.00","371.50","203.15K","-0.33%"
"2014년 10월 29일","375.25","364.25","376.00","362.50","217.05K","2.95%"
"2014년 10월 28일","364.50","362.50","371.75","361.25","222.30K","0.41%"
"2014년 10월 27일","363.00","351.75","363.75","348.50","172.97K","2.83%"
"2014년 10월 24일","353.00","359.25","365.00","352.25","162.47K","-1.88%"
"2014년 10월 23일","359.75","352.00","360.25","351.00","144.31K","1.91%"
"2014년 10월 22일","353.00","355.50","361.00","352.25","174.94K","-0.84%"
"2014년 10월 21일","356.00","347.50","358.75","347.00","159.48K","2.23%"
"2014년 10월 20일","348.25","345.25","349.00","342.00","140.83K","0.07%"
"2014년 10월 17일","348.00","351.75","355.75","346.50","127.18K","-1.21%"
"2014년 10월 16일","352.25","347.75","353.00","345.00","138.24K","1.37%"
"2014년 10월 15일","347.50","356.00","358.25","346.50","183.38K","-2.66%"
"2014년 10월 14일","357.00","345.50","357.50","343.00","194.80K","3.18%"
"2014년 10월 13일","346.00","333.50","347.50","330.50","142.10K","3.59%"
"2014년 10월 10일","334.00","343.25","348.50","332.50","234.75K","-3.12%"
"2014년 10월 09일","344.75","342.50","348.00","340.75","174.55K","0.44%"
"2014년 10월 08일","343.25","340.00","343.50","337.50","127.49K","0.81%"
"2014년 10월 07일","340.50","331.75","342.25","330.50","218.11K","2.41%"
"2014년 10월 06일","332.50","323.25","332.75","323.25","134.90K","2.86%"
"2014년 10월 03일","323.25","322.75","325.75","321.00","92.12K","0.15%"
"2014년 10월 02일","322.75","320.50","323.25","319.25","123.13K","0.47%"
"2014년 10월 01일","321.25","320.25","323.50","318.25","121.91K","0.16%"
"2014년 09월 30일","320.75","325.50","326.25","319.50","173.98K","-1.53%"
"2014년 09월 29일","325.75","322.25","326.50","322.00","104.81K","0.85%"
"2014년 09월 26일","323.00","326.00","327.00","322.75","86.61K","-0.92%"
"2014년 09월 25일","326.00","329.25","330.75","325.25","107.74K","-1.06%"
"2014년 09월 24일","329.50","325.50","330.00","324.75","132.65K","1.23%"
"2014년 09월 23일","325.50","329.50","331.00","324.75","125.17K","-1.44%"
"2014년 09월 22일","330.25","331.00","331.50","326.75","131.67K","-0.38%"
"2014년 09월 19일","331.50","338.00","338.25","331.50","107.64K","-2.00%"
"2014년 09월 18일","338.25","341.00","341.75","338.00","100.94K","-1.02%"
"2014년 09월 17일","341.75","343.25","344.25","339.25","83.63K","-0.58%"
"2014년 09월 16일","343.75","342.50","350.50","338.75","144.55K","0.22%"
"2014년 09월 15일","343.00","337.00","343.50","335.75","102.67K","1.18%"
"2014년 09월 12일","339.00","333.50","335.00","330.25","0.33K","2.19%"
"2014년 09월 11일","331.75","338.00","338.00","329.00","1.73K","-2.07%"
"2014년 09월 10일","338.75","336.00","340.75","335.00","1.30K","0.74%"
"2014년 09월 09일","336.25","338.75","338.75","334.75","1.60K","-0.88%"
"2014년 09월 08일","339.25","345.00","348.00","336.75","0.89K","-2.09%"
"2014년 09월 05일","346.50","336.25","347.50","335.25","3.22K","3.20%"
"2014년 09월 04일","335.75","341.25","342.25","333.25","5.05K","-1.61%"
"2014년 09월 03일","341.25","355.00","355.00","340.50","11.53K","-4.08%"
"2014년 09월 02일","355.75","357.50","360.75","355.00","11.40K","-0.91%"
"2014년 08월 29일","359.00","360.00","361.75","356.00","30.83K","-0.76%"
"2014년 08월 28일","361.75","355.25","362.00","354.75","71.29K","1.62%"
"2014년 08월 27일","356.00","355.00","356.50","352.50","72.87K","0.00%"
"2014년 08월 26일","356.00","359.00","359.50","353.50","86.30K","-1.11%"
"2014년 08월 25일","360.00","363.50","364.25","358.75","78.75K","-1.50%"
"2014년 08월 22일","365.50","361.25","367.00","361.25","107.06K","0.90%"
"2014년 08월 21일","362.25","358.75","366.00","358.00","98.46K","0.76%"
"2014년 08월 20일","359.50","361.50","362.00","356.25","95.88K","-0.83%"
"2014년 08월 19일","362.50","360.00","363.25","356.50","80.14K","0.49%"
"2014년 08월 18일","360.75","365.50","370.00","359.75","78.82K","-1.37%"
"2014년 08월 15일","365.75","361.00","368.00","360.50","74.81K","1.04%"
"2014년 08월 14일","362.00","357.75","362.75","355.00","68.51K","1.12%"
"2014년 08월 13일","358.00","358.00","361.00","354.50","110.22K","-0.14%"
"2014년 08월 12일","358.50","355.50","362.00","347.75","194.07K","0.49%"
"2014년 08월 11일","356.75","351.00","357.75","350.50","165.30K","1.42%"
"2014년 08월 08일","351.75","358.75","359.50","351.25","123.61K","-2.16%"
"2014년 08월 07일","359.50","362.00","362.75","355.75","133.13K","-1.03%"
"2014년 08월 06일","363.25","355.75","364.00","355.50","75.36K","1.96%"
"2014년 08월 05일","356.25","358.00","358.25","353.00","65.79K","-0.70%"
"2014년 08월 04일","358.75","351.50","361.25","351.50","75.70K","1.77%"
"2014년 08월 01일","352.50","357.00","358.75","351.50","73.34K","-1.26%"
"2014년 07월 31일","357.00","360.50","361.50","356.75","68.93K","-1.31%"
"2014년 07월 30일","361.75","361.00","364.25","357.75","78.87K","0.07%"
"2014년 07월 29일","361.50","367.50","368.50","358.50","76.34K","-1.70%"
"2014년 07월 28일","367.75","363.00","369.25","363.00","62.89K","1.31%"
"2014년 07월 25일","363.00","361.00","363.50","357.00","76.15K","0.41%"
"2014년 07월 24일","361.50","361.75","369.00","356.50","80.59K","-0.28%"
"2014년 07월 23일","362.50","360.00","363.50","357.50","59.92K","0.62%"
"2014년 07월 22일","360.25","363.50","367.00","359.75","56.74K","-1.03%"
