"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 03월 14일","70.83","70.42","71.28","70.00","19.77K","0.87%"
"2017년 03월 13일","70.22","68.40","70.30","68.08","27.48K","3.01%"
"2017년 03월 10일","68.17","68.10","68.50","67.08","-","0.13%"
"2017년 03월 09일","68.08","68.72","68.97","67.55","26.67K","-0.50%"
"2017년 03월 08일","68.42","68.15","68.67","67.90","25.00K","0.54%"
"2017년 03월 07일","68.05","67.40","68.40","66.95","24.70K","1.31%"
"2017년 03월 06일","67.17","67.28","68.17","66.80","15.33K","0.63%"
"2017년 03월 03일","66.75","68.00","68.00","66.58","20.21K","-2.24%"
"2017년 03월 02일","68.28","68.55","69.62","68.10","24.24K","-0.20%"
"2017년 03월 01일","68.42","68.25","68.90","67.53","22.08K","1.21%"
"2017년 02월 28일","67.60","68.30","68.38","67.17","19.87K","-0.76%"
"2017년 02월 27일","68.12","68.25","69.00","67.88","16.31K","0.13%"
"2017년 02월 24일","68.03","66.70","68.22","66.33","19.91K","2.18%"
"2017년 02월 23일","66.58","67.50","67.50","66.03","24.81K","-1.73%"
"2017년 02월 22일","67.75","70.00","70.00","67.53","28.11K","-3.70%"
"2017년 02월 21일","70.35","71.25","71.58","70.25","16.51K","-0.61%"
"2017년 02월 17일","70.78","69.83","71.12","69.83","15.54K","1.36%"
"2017년 02월 16일","69.83","71.08","71.78","69.75","19.27K","-1.34%"
"2017년 02월 15일","70.78","71.78","72.33","70.65","16.74K","-5.84%"
"2017년 02월 14일","75.17","74.95","75.20","74.95","1.58K","0.56%"
"2017년 02월 13일","74.75","74.67","75.10","74.62","2.76K","0.27%"
"2017년 02월 10일","74.55","74.78","74.97","74.00","4.96K","0.44%"
"2017년 02월 09일","74.22","73.90","74.35","73.55","2.87K","1.19%"
"2017년 02월 08일","73.35","72.60","73.45","72.45","4.65K","1.34%"
"2017년 02월 07일","72.38","71.70","72.80","71.70","8.24K","1.44%"
"2017년 02월 06일","71.35","70.28","71.42","70.28","7.34K","1.45%"
"2017년 02월 03일","70.33","70.60","70.65","69.92","5.17K","-0.03%"
"2017년 02월 02일","70.35","69.85","70.50","69.65","8.75K","1.34%"
"2017년 02월 01일","69.42","69.50","70.00","68.92","9.32K","0.49%"
"2017년 01월 31일","69.08","67.20","69.30","67.15","9.98K","2.95%"
"2017년 01월 30일","67.10","67.25","67.70","66.92","7.69K","0.30%"
"2017년 01월 27일","66.90","66.42","67.08","66.05","7.73K","1.59%"
"2017년 01월 26일","65.85","67.70","68.00","65.25","11.14K","-2.49%"
"2017년 01월 25일","67.53","66.00","67.83","65.85","9.52K","3.54%"
"2017년 01월 24일","65.22","65.05","65.72","64.97","7.35K","0.34%"
"2017년 01월 23일","65.00","65.35","65.45","64.33","9.08K","-0.46%"
"2017년 01월 20일","65.30","65.70","65.88","65.03","9.99K","-0.18%"
"2017년 01월 19일","65.42","65.47","65.78","64.90","12.46K","0.34%"
"2017년 01월 18일","65.20","65.90","66.67","64.53","16.87K","-0.91%"
"2017년 01월 17일","65.80","65.95","65.97","65.05","10.68K","0.30%"
"2017년 01월 13일","65.60","66.10","66.20","64.72","22.09K","-0.53%"
"2017년 01월 12일","65.95","65.90","66.22","64.90","25.28K","0.53%"
"2017년 01월 11일","65.60","65.25","66.08","64.83","26.72K","0.85%"
"2017년 01월 10일","65.05","64.20","65.90","63.85","27.02K","2.04%"
"2017년 01월 09일","63.75","64.12","64.12","62.55","24.48K","-0.36%"
"2017년 01월 06일","63.98","65.15","65.15","63.58","15.87K","-1.39%"
"2017년 01월 05일","64.88","64.92","65.60","64.22","16.30K","0.43%"
"2017년 01월 04일","64.60","63.88","64.78","63.30","17.80K","1.73%"
"2017년 01월 03일","63.50","66.40","66.90","63.23","22.57K","-4.01%"
"2016년 12월 30일","66.15","64.60","66.35","64.28","16.45K","2.32%"
"2016년 12월 29일","64.65","65.58","65.95","64.15","11.50K","-0.69%"
"2016년 12월 28일","65.10","65.05","66.12","64.45","14.59K","0.54%"
"2016년 12월 27일","64.75","62.50","64.88","62.15","14.87K","2.45%"
"2016년 12월 23일","63.20","65.08","65.10","62.27","15.73K","-2.35%"
"2016년 12월 22일","64.72","65.30","65.75","64.42","10.21K","-0.28%"
"2016년 12월 21일","64.90","63.83","65.47","62.90","15.87K","1.41%"
"2016년 12월 20일","64.00","65.85","66.42","63.65","19.46K","-3.18%"
"2016년 12월 19일","66.10","64.72","66.58","63.92","25.04K","2.16%"
"2016년 12월 16일","64.70","62.75","64.95","62.58","23.28K","3.69%"
"2016년 12월 15일","62.40","61.70","62.95","60.88","17.09K","7.87%"
"2016년 12월 14일","57.85","57.23","57.88","57.23","1.63K","1.19%"
"2016년 12월 13일","57.17","57.48","57.50","57.02","1.65K","-0.37%"
"2016년 12월 12일","57.38","57.00","57.40","56.80","2.77K","1.15%"
"2016년 12월 09일","56.73","56.65","57.10","56.12","5.09K","1.90%"
"2016년 12월 08일","55.67","55.30","56.88","55.12","9.11K","1.77%"
"2016년 12월 07일","54.70","54.05","55.33","54.00","11.10K","2.47%"
"2016년 12월 06일","53.38","52.25","54.08","52.00","8.73K","3.65%"
"2016년 12월 05일","51.50","51.20","51.90","51.15","7.31K","1.48%"
"2016년 12월 02일","50.75","50.90","51.27","50.52","6.99K","1.04%"
"2016년 12월 01일","50.23","51.25","51.52","49.95","11.59K","-1.55%"
"2016년 11월 30일","51.02","50.85","51.70","50.75","9.18K","1.33%"
"2016년 11월 29일","50.35","50.58","50.95","50.27","9.87K","-0.14%"
"2016년 11월 28일","50.42","51.10","51.48","50.30","8.69K","-1.23%"
"2016년 11월 25일","51.05","50.50","51.38","50.50","5.66K","2.61%"
"2016년 11월 23일","49.75","49.60","50.38","49.38","10.68K","0.91%"
"2016년 11월 22일","49.30","49.83","50.33","49.15","10.65K","-0.94%"
"2016년 11월 21일","49.77","47.90","50.02","47.77","16.20K","4.12%"
"2016년 11월 18일","47.80","47.52","48.10","47.02","10.51K","0.74%"
"2016년 11월 17일","47.45","48.17","48.25","46.80","13.06K","-1.19%"
"2016년 11월 16일","48.02","46.27","48.27","46.25","23.39K","4.12%"
"2016년 11월 15일","46.12","46.90","47.33","45.73","15.53K","-1.66%"
"2016년 11월 14일","46.90","47.08","47.08","45.42","23.25K","-0.47%"
"2016년 11월 11일","47.12","47.40","48.75","46.88","27.99K","-0.55%"
"2016년 11월 10일","47.38","46.52","47.80","45.55","30.55K","1.78%"
"2016년 11월 09일","46.55","46.85","47.42","45.98","24.44K","-0.92%"
"2016년 11월 08일","46.98","47.20","47.67","46.62","27.73K","-0.25%"
"2016년 11월 07일","47.10","46.38","47.25","45.98","26.99K","2.06%"
"2016년 11월 04일","46.15","46.90","46.95","45.10","18.93K","-1.81%"
"2016년 11월 03일","47.00","47.45","47.55","46.35","16.62K","-1.74%"
"2016년 11월 02일","47.83","46.92","47.95","46.55","17.63K","2.97%"
"2016년 11월 01일","46.45","47.70","48.12","46.10","21.98K","-3.13%"
"2016년 10월 31일","47.95","46.83","48.15","46.58","22.93K","2.46%"
"2016년 10월 28일","46.80","45.50","47.08","45.45","17.89K","3.13%"
"2016년 10월 27일","45.38","44.20","45.98","43.85","20.32K","2.67%"
"2016년 10월 26일","44.20","44.70","44.88","43.75","13.40K","-0.94%"
"2016년 10월 25일","44.62","43.75","44.70","43.60","17.89K","3.29%"
"2016년 10월 24일","43.20","43.00","43.75","42.77","15.84K","3.23%"
"2016년 10월 21일","41.85","41.62","42.65","41.45","16.87K","1.82%"
"2016년 10월 20일","41.10","41.30","41.85","41.05","12.75K","-0.17%"
"2016년 10월 19일","41.17","41.25","42.00","40.70","15.37K","0.12%"
"2016년 10월 18일","41.12","41.70","42.25","41.02","13.61K","-1.15%"
"2016년 10월 17일","41.60","42.48","42.73","41.25","15.84K","-20.91%"
"2016년 10월 14일","52.60","52.52","52.73","52.42","1.98K","-0.04%"
"2016년 10월 13일","52.62","52.52","52.77","52.45","1.87K","0.46%"
"2016년 10월 12일","52.38","51.80","52.45","51.77","3.50K","1.81%"
"2016년 10월 11일","51.45","51.10","51.77","51.10","3.74K","1.54%"
"2016년 10월 10일","50.67","51.15","51.25","50.33","2.34K","0.00%"
"2016년 10월 07일","50.67","50.98","51.73","50.50","6.89K","0.58%"
"2016년 10월 06일","50.38","48.80","50.52","48.65","4.86K","4.46%"
"2016년 10월 05일","48.23","49.02","49.15","47.62","6.07K","-0.80%"
"2016년 10월 04일","48.62","49.40","49.60","48.50","6.13K","-0.61%"
"2016년 10월 03일","48.92","49.27","49.80","48.70","7.07K","-0.20%"
"2016년 09월 30일","49.02","52.12","52.12","49.02","9.59K","-5.77%"
"2016년 09월 29일","52.02","51.60","52.27","50.83","5.76K","0.62%"
"2016년 09월 28일","51.70","52.30","52.45","51.50","5.28K","0.00%"
"2016년 09월 27일","51.70","53.30","53.85","51.50","9.32K","-2.54%"
"2016년 09월 26일","53.05","53.83","54.25","52.95","9.51K","-1.76%"
