"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2011년 03월 03일","1,830.10","1,848.65","1,854.05","1,822.95","-","-1.01%"
"2011년 03월 02일","1,848.85","1,836.25","1,865.20","1,829.55","-","0.63%"
"2011년 03월 01일","1,837.25","1,812.05","1,846.45","1,806.35","-","1.40%"
"2011년 02월 28일","1,811.85","1,811.10","1,825.95","1,798.65","-","0.05%"
"2011년 02월 27일","1,810.95","1,806.65","1,811.40","1,801.95","-","0.17%"
"2011년 02월 25일","1,807.95","1,784.45","1,807.95","1,783.35","-","1.21%"
"2011년 02월 24일","1,786.40","1,793.05","1,804.40","1,770.85","-","-0.30%"
"2011년 02월 23일","1,791.70","1,802.10","1,811.90","1,771.60","-","-0.59%"
"2011년 02월 22일","1,802.25","1,856.15","1,857.85","1,785.75","-","-2.86%"
"2011년 02월 21일","1,855.30","1,846.05","1,856.45","1,841.60","-","0.57%"
"2011년 02월 20일","1,844.70","1,837.35","1,844.70","1,830.15","-","0.42%"
"2011년 02월 18일","1,836.95","1,846.00","1,849.10","1,834.05","-","-0.62%"
"2011년 02월 17일","1,848.45","1,832.80","1,848.45","1,823.65","-","0.72%"
"2011년 02월 16일","1,835.20","1,834.30","1,841.25","1,826.20","-","-0.00%"
"2011년 02월 15일","1,835.25","1,831.75","1,848.30","1,828.20","-","0.12%"
"2011년 02월 14일","1,833.00","1,812.20","1,836.90","1,809.60","-","1.24%"
"2011년 02월 13일","1,810.50","1,808.45","1,813.45","1,808.20","-","0.25%"
"2011년 02월 11일","1,806.00","1,834.35","1,840.05","1,804.00","-","-1.42%"
"2011년 02월 10일","1,832.00","1,860.45","1,860.80","1,825.60","-","-1.61%"
"2011년 02월 09일","1,861.95","1,853.90","1,869.15","1,850.65","-","0.48%"
"2011년 02월 08일","1,853.10","1,842.45","1,866.90","1,838.65","-","0.58%"
"2011년 02월 07일","1,842.40","1,844.40","1,851.80","1,835.70","-","-0.03%"
"2011년 02월 06일","1,842.90","1,844.90","1,847.35","1,837.50","-","-0.13%"
"2011년 02월 04일","1,845.30","1,840.40","1,863.15","1,835.05","-","0.31%"
"2011년 02월 03일","1,839.60","1,832.80","1,844.95","1,820.75","-","0.19%"
"2011년 02월 02일","1,836.20","1,826.45","1,839.95","1,825.35","-","0.48%"
"2011년 02월 01일","1,827.50","1,795.55","1,834.20","1,792.50","-","1.75%"
"2011년 01월 31일","1,796.15","1,800.15","1,808.75","1,776.70","-","-0.21%"
"2011년 01월 30일","1,799.90","1,800.00","1,803.70","1,799.40","-","0.11%"
"2011년 01월 28일","1,798.00","1,791.00","1,809.75","1,761.60","-","0.35%"
"2011년 01월 27일","1,791.80","1,813.25","1,819.15","1,782.85","-","-1.19%"
"2011년 01월 26일","1,813.30","1,781.60","1,815.45","1,781.45","-","1.63%"
"2011년 01월 25일","1,784.30","1,818.80","1,819.20","1,781.75","-","-1.90%"
"2011년 01월 24일","1,818.95","1,829.65","1,836.15","1,814.60","-","-0.46%"
"2011년 01월 23일","1,827.35","1,828.35","1,831.35","1,827.35","-","-0.08%"
"2011년 01월 21일","1,828.75","1,814.05","1,832.75","1,805.15","-","0.79%"
"2011년 01월 20일","1,814.50","1,835.35","1,842.25","1,800.55","-","-1.17%"
"2011년 01월 19일","1,836.00","1,827.10","1,851.20","1,825.30","-","0.52%"
"2011년 01월 18일","1,826.45","1,809.80","1,832.40","1,807.50","-","0.95%"
"2011년 01월 17일","1,809.30","1,818.15","1,822.70","1,806.30","-","-0.49%"
"2011년 01월 16일","1,818.15","1,818.65","1,818.65","1,818.15","-","0.18%"
"2011년 01월 14일","1,814.80","1,807.00","1,826.45","1,804.45","-","0.44%"
"2011년 01월 13일","1,806.90","1,800.10","1,833.15","1,794.55","-","0.47%"
"2011년 01월 12일","1,798.40","1,766.15","1,811.00","1,765.20","-","1.90%"
"2011년 01월 11일","1,764.85","1,740.90","1,774.50","1,740.40","-","1.37%"
"2011년 01월 10일","1,740.95","1,744.55","1,753.35","1,735.90","-","-0.29%"
"2011년 01월 09일","1,746.05","1,737.50","1,748.75","1,737.40","-","0.56%"
"2011년 01월 07일","1,736.25","1,728.85","1,749.65","1,718.60","-","0.31%"
"2011년 01월 06일","1,730.90","1,728.50","1,745.15","1,726.70","-","0.23%"
"2011년 01월 05일","1,727.00","1,758.40","1,758.40","1,710.75","-","-1.77%"
"2011년 01월 04일","1,758.05","1,774.10","1,777.40","1,742.95","-","-0.90%"
"2011년 01월 03일","1,774.10","1,779.50","1,792.20","1,766.80","-","-0.35%"
"2011년 01월 02일","1,780.35","1,779.60","1,783.15","1,779.10","-","0.31%"
"2010년 12월 31일","1,774.80","1,753.40","1,780.95","1,725.00","-","1.25%"
"2010년 12월 30일","1,752.95","1,764.75","1,775.95","1,744.80","-","-0.69%"
"2010년 12월 29일","1,765.10","1,755.25","1,767.35","1,750.40","-","0.52%"
"2010년 12월 28일","1,756.00","1,744.00","1,764.85","1,743.70","-","0.79%"
"2010년 12월 27일","1,742.20","1,715.00","1,744.20","1,714.25","-","1.07%"
"2010년 12월 24일","1,723.75","1,723.75","1,723.75","1,723.75","-","0.15%"
"2010년 12월 23일","1,721.25","1,731.10","1,736.35","1,716.30","-","-0.59%"
"2010년 12월 22일","1,731.55","1,728.85","1,739.85","1,727.60","-","0.27%"
"2010년 12월 21일","1,726.95","1,715.40","1,732.25","1,710.40","-","0.67%"
"2010년 12월 20일","1,715.45","1,710.75","1,717.35","1,703.05","-","0.30%"
"2010년 12월 19일","1,710.25","1,706.00","1,712.60","1,706.00","-","0.46%"
"2010년 12월 17일","1,702.45","1,699.20","1,713.55","1,694.20","-","0.05%"
"2010년 12월 16일","1,701.60","1,701.35","1,713.55","1,691.35","-","-0.04%"
"2010년 12월 15일","1,702.20","1,704.90","1,711.00","1,691.60","-","-0.16%"
"2010년 12월 14일","1,704.85","1,697.25","1,717.40","1,694.65","-","0.44%"
"2010년 12월 13일","1,697.45","1,676.35","1,707.80","1,671.60","-","1.20%"
"2010년 12월 12일","1,677.40","1,678.80","1,684.25","1,675.55","-","-0.22%"
"2010년 12월 10일","1,681.15","1,680.45","1,686.95","1,666.20","-","0.01%"
"2010년 12월 09일","1,681.05","1,680.20","1,695.50","1,674.15","-","0.06%"
"2010년 12월 08일","1,680.10","1,692.40","1,695.95","1,670.80","-","-0.69%"
"2010년 12월 07일","1,691.75","1,724.40","1,733.65","1,688.25","-","-1.90%"
"2010년 12월 06일","1,724.45","1,728.65","1,737.30","1,711.60","-","-0.25%"
"2010년 12월 05일","1,728.75","1,728.40","1,730.30","1,727.50","-","-0.08%"
"2010년 12월 03일","1,730.10","1,713.35","1,732.55","1,711.90","-","1.04%"
"2010년 12월 02일","1,712.25","1,684.05","1,729.95","1,682.35","-","1.68%"
"2010년 12월 01일","1,684.00","1,659.50","1,692.05","1,658.35","-","1.46%"
"2010년 11월 30일","1,659.70","1,644.65","1,668.55","1,639.65","-","0.73%"
"2010년 11월 29일","1,647.65","1,638.75","1,658.80","1,633.30","-","0.55%"
"2010년 11월 28일","1,638.70","1,649.75","1,652.50","1,638.65","-","-0.66%"
"2010년 11월 26일","1,649.60","1,660.00","1,661.95","1,637.75","-","-0.63%"
"2010년 11월 25일","1,660.00","1,662.15","1,666.85","1,653.10","-","-0.25%"
"2010년 11월 24일","1,664.10","1,655.05","1,671.40","1,652.15","-","0.54%"
"2010년 11월 23일","1,655.20","1,660.45","1,665.85","1,636.65","-","-0.31%"
"2010년 11월 22일","1,660.40","1,673.60","1,677.50","1,649.65","-","-0.80%"
"2010년 11월 21일","1,673.80","1,670.45","1,676.75","1,670.45","-","0.46%"
"2010년 11월 19일","1,666.15","1,672.75","1,673.40","1,646.75","-","-0.39%"
"2010년 11월 18일","1,672.70","1,638.75","1,672.85","1,638.20","-","2.08%"
"2010년 11월 17일","1,638.60","1,645.65","1,648.25","1,628.30","-","-0.43%"
"2010년 11월 16일","1,645.70","1,676.05","1,679.55","1,638.05","-","-1.85%"
"2010년 11월 15일","1,676.80","1,685.20","1,697.95","1,670.80","-","-0.49%"
"2010년 11월 14일","1,685.10","1,680.50","1,685.55","1,678.15","-","0.22%"
"2010년 11월 12일","1,681.40","1,752.85","1,753.00","1,674.85","-","-4.27%"
